MAP Output File.
Outputs were generated using MAP 0.87.06a-mdm on <2013-09-24.10:36:05>

Time           TFair[1]       TFair[2]       TFair[3]       TFair[4]       TFair[5]       TFair[6]       TFair[7]       TFair[8]       
[s]            [kN]           [kN]           [kN]           [kN]           [kN]           [kN]           [kN]           [kN]           
0              274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
0.5            274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
1              274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
1.5            274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
2              274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
2.5            274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
3              274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
3.5            274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
4              274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        
4.5            274.564        274.564        274.564        274.564        274.564        274.564        274.564        274.564        


MAP successfully terminated
