! Boundary layer characteristics at the trailing edge for the airfoil coordinates of /Users/pbortolo/work/2_openfast/noise/verifyAA/OpenFAST_IEA_LB_RWT/Airfoils/AF20_Coords.txt
! Legend: aoa - angle of attack (deg), Re - Reynolds number (-, millions), PS - pressure side, SS - suction side,  Ue_Vinf - edge velocity (-), Dstar - displacement thickness (-), Delta - nominal boundary layer thickness (-) Cf  - friction coefficient (-)
4           ReListBL   -  Number of Reynolds numbers (it corresponds to the number of tables)
30          aoaListBL  -  Number of angles of attack (it corresponds to the number of rows in each table)
0.50        -  Re
aoa             Ue_Vinf_SS          Ue_Vinf_PS         Dstar_SS           Dstar_PS           Delta_SS           Delta_PS           Cf_SS              Cf_PS
(deg)           (-)                 (-)                (-)                (-)                (-)                (-)                (-)                (-)
-5.00000        8.39390e-01        -8.37360e-01        7.43700e-03        1.07730e-02        2.75094e-02        5.15849e-02        1.13200e-03        1.58200e-03 
-3.96552        8.42050e-01        -8.40230e-01        8.26600e-03        9.29500e-03        2.98650e-02        4.87153e-02        1.04400e-03        1.85700e-03 
-2.93103        8.45320e-01        -8.43690e-01        9.08800e-03        8.10000e-03        3.19790e-02        4.70045e-02        9.58000e-04        2.16500e-03 
-1.89655        8.48230e-01        -8.46710e-01        9.97400e-03        7.33700e-03        3.44024e-02        4.50456e-02        8.90000e-04        2.35800e-03 
-0.86207        8.51550e-01        -8.50140e-01        1.09130e-02        6.54100e-03        3.68822e-02        4.30884e-02        8.26000e-04        2.59900e-03 
 0.17241        8.55000e-01        -8.53670e-01        1.18900e-02        5.92900e-03        3.96199e-02        4.27416e-02        7.79000e-04        2.87100e-03 
 1.20690        8.63820e-01        -1.04207e+00        1.22130e-02        9.89500e-03        4.18890e-02        1.68156e-02        8.18000e-04       -1.77000e-04 
 2.24138        8.61500e-01        -8.60210e-01        1.40420e-02        4.88700e-03        4.51813e-02        3.93105e-02        6.78000e-04        3.28700e-03 
 3.27586        8.64430e-01        -8.63080e-01        1.52900e-02        4.57300e-03        4.85938e-02        3.82233e-02        6.39000e-04        3.44000e-03 
 4.31034        8.67960e-01        -8.66600e-01        1.65660e-02        4.09100e-03        5.17768e-02        3.63749e-02        5.96000e-04        3.69000e-03 
