Example aerodynamic blade input properties
====== Blade Properties ==========================================
30    NumBlNds    - Number of blade nodes used in the analysis (-)
TEAngle              TEThick
(deg)                (m)
10.000000E+00        0.03000E+00
10.000000E+00        0.02900E+00
10.000000E+00        0.02800E+00
10.000000E+00        0.02700E+00
10.000000E+00        0.02600E+00
10.000000E+00        0.02500E+00
10.000000E+00        0.02400E+00
10.000000E+00        0.02300E+00
10.000000E+00        0.02200E+00
10.000000E+00        0.02100E+00
10.000000E+00        0.02000E+00
10.000000E+00        0.01900E+00
10.000000E+00        0.01800E+00
10.000000E+00        0.01700E+00
10.000000E+00        0.01600E+00
10.000000E+00        0.01500E+00
10.000000E+00        0.01400E+00
10.000000E+00        0.01300E+00
10.000000E+00        0.01200E+00
10.000000E+00        0.01100E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
10.000000E+00        0.01000E+00
